Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
31,25,44,28,46,56,39,45
31,25,44,28,46,56,39,45
31,24,44,27,46,56,39,45
31,24,44,27,46,57,39,45
31,24,45,27,46,57,39,45
31,24,45,27,46,57,39,45
31,24,45,27,46,57,39,45
31,24,44,27,46,57,39,45
31,25,44,27,46,57,39,45
31,25,44,27,46,57,39,45
31,26,44,27,46,57,39,45
31,26,44,27,45,57,39,45
31,26,45,27,45,56,39,45
31,25,45,27,45,56,39,45
31,25,45,27,45,56,39,45
31,25,45,27,46,56,39,45
31,25,45,27,46,56,39,45
31,25,44,27,46,56,39,45
31,25,44,27,46,56,39,45
31,25,44,27,46,56,39,45
31,25,44,27,46,56,39,45
31,25,44,27,46,56,39,45
31,26,44,27,46,56,39,45
31,26,44,27,46,55,39,45
31,26,44,27,45,55,39,45
31,26,45,27,45,55,39,45
31,26,45,27,45,55,39,45
30,26,45,28,45,55,39,45
30,26,45,28,45,55,39,45
30,26,45,28,45,55,39,45
30,26,45,28,45,55,39,45
30,26,45,28,45,56,39,45
30,26,44,28,45,56,39,45
30,26,45,28,45,56,39,45
31,26,45,28,45,56,39,45
30,26,45,28,45,56,39,45
30,26,45,28,45,55,39,45
30,26,45,28,45,56,39,45
31,26,45,28,45,56,39,45
30,27,45,28,45,56,39,46
30,27,45,28,45,57,39,45
30,27,45,28,46,57,39,45
31,27,45,28,45,57,39,45
31,27,45,28,45,57,39,45
31,27,45,28,46,57,39,45
31,27,45,28,45,57,39,45
31,27,45,28,46,57,39,45
31,27,45,28,45,57,39,45
31,27,45,28,46,57,39,45
31,27,45,28,46,57,39,45
31,27,45,28,46,57,39,45
31,27,45,28,46,57,39,45
31,27,45,28,46,57,39,45
31,27,45,28,45,57,39,45
31,27,46,28,45,57,39,45
31,28,46,28,45,57,39,45
31,28,45,28,45,58,39,45
31,28,45,28,45,58,39,45
31,28,46,28,46,58,39,45
31,28,46,28,46,57,39,45
31,28,46,28,45,57,39,45
31,28,46,28,45,57,39,45
31,28,46,28,45,57,39,45
31,28,46,28,45,57,39,45
31,28,45,28,45,56,39,45
31,28,45,28,45,56,39,45
31,28,45,28,45,56,39,45
31,28,45,28,45,56,39,45
31,27,45,28,46,56,39,45
31,27,45,28,46,56,39,45
31,27,46,28,45,56,39,45
31,27,46,28,45,56,39,45
31,27,45,28,46,56,39,45
31,26,45,28,46,56,39,45
31,26,45,28,45,56,39,45
31,26,45,28,46,56,39,45
31,26,45,28,45,56,39,45
31,25,45,28,45,56,39,45
31,25,45,28,45,56,39,44
31,25,45,28,45,56,39,44
31,25,45,28,45,56,39,44
31,25,45,28,45,56,39,45
31,25,45,28,45,56,39,45
31,24,45,28,45,56,39,45
31,24,45,28,45,56,39,45
31,24,45,28,45,57,39,45
31,24,45,28,45,57,39,45
31,24,46,28,45,57,39,45
31,24,46,28,44,57,39,45
31,24,45,28,45,57,39,45
31,24,45,28,45,57,39,45
31,24,45,28,45,57,39,45
31,24,45,27,45,57,39,45
31,25,45,27,45,57,39,45
31,25,46,27,45,57,40,45
31,25,45,27,45,57,40,46
31,25,46,27,46,57,39,46
31,25,46,27,46,57,39,46
31,26,46,27,46,57,39,46
31,26,46,27,46,57,39,46
31,26,46,27,46,57,39,45
31,26,46,27,46,57,39,45
31,26,46,28,46,57,40,45
31,27,45,28,46,57,40,45
31,27,45,28,46,56,40,45
31,27,45,28,46,56,40,45
31,27,45,28,46,56,40,45
31,27,45,28,46,56,40,45
31,27,45,28,46,56,40,45
31,27,45,28,47,56,40,45
31,27,45,28,46,56,40,45
31,27,45,28,46,56,40,45
31,27,45,28,46,56,40,45
31,27,45,28,46,56,40,45
31,27,45,28,46,57,40,45
31,27,45,28,46,57,40,45
31,27,44,28,46,57,40,45
31,27,44,28,46,57,40,45
